Date,Open,High,Low,Close,Adj Close,Volume
2022-02-04,39128.0,39278.6015625,38562.6015625,38789.3515625,38788.90234375,163100
2022-02-07,38592.05078125,38837.55078125,37802.69921875,37995.44921875,37995.0078125,241900
2022-02-08,38176.1015625,38222.1015625,37319.05078125,38028.44921875,38028.0078125,200200
2022-02-09,38283.6015625,38648.1484375,38192.0,38610.25,38609.80078125,124900
2022-02-10,38801.44921875,39197.19921875,38520.0,39010.94921875,39010.49609375,147800
2022-02-11,38567.6484375,38790.25,38396.3984375,38517.25,38516.80078125,155000
2022-02-14,37664.0,37796.55078125,36828.05078125,36908.55078125,36908.12109375,213800
2022-02-15,36989.80078125,38231.6015625,36651.8515625,38170.1015625,38169.65625,193000
2022-02-16,38296.5,38461.69921875,37762.80078125,37953.80078125,37953.359375,170100
2022-02-17,38042.1015625,38124.5,37425.6015625,37531.6484375,37531.2109375,136300
2022-02-18,37344.44921875,37817.55078125,37304.44921875,37599.1484375,37598.7109375,113500
2022-02-21,37400.0,38054.3984375,37156.80078125,37685.6015625,37685.1640625,143300
2022-02-22,36833.0,37659.3984375,36818.1015625,37371.6484375,37371.21484375,159400
2022-02-23,37628.55078125,37774.6015625,37318.0,37392.05078125,37391.6171875,137300
2022-02-24,36085.19921875,36709.1484375,34991.3515625,35228.1015625,35227.69140625,427800
2022-02-25,35901.69921875,36684.6484375,35768.19921875,36430.75,36430.328125,372800
2022-02-28,35938.94921875,36270.25,35611.8984375,36205.30078125,36204.87890625,238300
2022-03-02,35381.8984375,35553.69921875,34897.44921875,35372.80078125,35372.390625,211300
2022-03-03,35621.1484375,35804.1484375,34721.1484375,34944.30078125,34943.89453125,172500
2022-03-04,34526.1015625,35097.75,34094.1015625,34407.80078125,34407.40234375,194500
2022-03-07,33278.1484375,33543.30078125,32376.5,32871.25,32870.8671875,248900
2022-03-08,32531.900390625,33263.55078125,32155.349609375,33158.1015625,33157.71484375,276800
2022-03-09,33278.8984375,33969.5,32948.8984375,33815.44921875,33815.0546875,258500
2022-03-10,35153.94921875,35374.1484375,34218.05078125,34475.6015625,34475.19921875,273900
2022-03-11,34331.0,34880.05078125,34094.30078125,34546.25,34545.84765625,169500
2022-03-14,34660.25,35435.1015625,34625.05078125,35312.1484375,35311.73828125,193300
2022-03-15,35467.94921875,35643.80078125,34706.05078125,35022.6484375,35022.2421875,224200
2022-03-16,35555.75,35806.3515625,35461.55078125,35748.25,35747.8359375,173800
2022-03-17,36302.0,36611.94921875,36261.6484375,36428.55078125,36428.12890625,182000
2022-03-21,36545.8515625,36600.19921875,35900.19921875,36018.5,36018.08203125,128700
2022-03-22,35975.6015625,36468.80078125,35384.75,36348.55078125,36348.12890625,202900
2022-03-23,36627.69921875,36827.6015625,36064.75,36147.3515625,36146.9296875,197900
2022-03-24,35633.69921875,35957.69921875,35421.69921875,35527.1015625,35526.6875,205200
2022-03-25,35700.3984375,35717.3984375,35203.8515625,35410.1015625,35409.69140625,157000
2022-03-28,35488.69921875,35770.80078125,35016.30078125,35710.5,35710.0859375,197000
2022-03-29,35931.75,35977.19921875,35506.55078125,35847.3984375,35846.98046875,177100
2022-03-30,36241.55078125,36421.1015625,36070.55078125,36334.30078125,36333.87890625,325600
2022-03-31,36457.19921875,36590.8515625,36278.1484375,36373.6015625,36373.1796875,188100
2022-04-01,36298.3515625,37209.80078125,36242.3515625,37148.5,37148.06640625,245700
2022-04-04,37824.94921875,38765.8515625,37665.55078125,38635.19921875,38634.75,309200
2022-04-05,38731.30078125,38759.25,37935.94921875,38067.8984375,38067.45703125,220600
2022-04-06,37711.30078125,37868.5,37513.8515625,37632.80078125,37632.36328125,198800
2022-04-07,37421.75,37975.8984375,37346.80078125,37557.3515625,37556.9140625,245000
2022-04-08,37619.69921875,37884.19921875,37405.19921875,37752.05078125,37751.61328125,202200
2022-04-11,37591.75,37941.75,37524.44921875,37613.80078125,37613.36328125,132100
2022-04-12,37407.3984375,37920.6015625,37264.44921875,37747.3984375,37746.9609375,171000
2022-04-13,37887.30078125,37988.6015625,37408.19921875,37463.3984375,37462.96484375,143300
2022-04-18,36833.1484375,36965.8515625,36441.3515625,36729.0,36728.57421875,182900
2022-04-19,36806.80078125,37123.55078125,35926.30078125,36341.6015625,36341.1796875,216300
2022-04-20,36482.6015625,36513.8515625,36114.05078125,36314.8984375,36314.4765625,153400
2022-04-21,36513.1015625,36913.3515625,36395.69921875,36816.1015625,36815.671875,132700
2022-04-22,36514.1484375,36578.94921875,35991.5,36044.75,36044.33203125,140100
2022-04-25,35792.3515625,36270.1484375,35511.3984375,36082.3515625,36081.93359375,183100
2022-04-26,36515.3515625,36604.55078125,36265.8984375,36404.80078125,36404.37890625,143400
2022-04-27,36067.55078125,36175.8984375,35747.1484375,36028.8515625,36028.43359375,134200
2022-04-28,36189.94921875,36501.1015625,35951.1015625,36422.19921875,36421.77734375,137300
2022-04-29,36474.05078125,36718.80078125,35978.94921875,36088.1484375,36087.73046875,172700
2022-05-02,35627.6015625,36235.25,35618.19921875,36163.75,36163.328125,170200
2022-05-04,36266.1484375,36309.30078125,35127.8515625,35264.55078125,35264.140625,214600
2022-05-05,35705.3515625,35934.8515625,35133.80078125,35232.8515625,35232.44140625,167300
2022-05-06,34569.1015625,34797.94921875,34353.19921875,34591.19921875,34590.796875,199200
2022-05-09,34091.75,34554.3515625,33927.19921875,34275.3984375,34275.0,179900
2022-05-10,34181.19921875,34781.80078125,34176.80078125,34482.6484375,34482.24609375,138000
2022-05-11,34686.30078125,34793.19921875,34143.19921875,34693.1484375,34692.74609375,179500
2022-05-12,34289.1015625,34341.19921875,33297.6484375,33532.1484375,33531.7578125,382100
2022-05-13,33925.94921875,34002.19921875,33007.8984375,33121.3515625,33120.96484375,272700
2022-05-16,33256.0,33821.6484375,33001.75,33597.6015625,33597.2109375,195100
2022-05-17,33796.19921875,34366.05078125,33680.6015625,34301.8984375,34301.5,161500
2022-05-18,34448.19921875,34655.80078125,34134.69921875,34163.69921875,34163.30078125,146800
2022-05-19,33461.0,33633.94921875,33180.6015625,33315.6484375,33315.26171875,150400
2022-05-20,33765.1484375,34358.05078125,33658.05078125,34276.3984375,34276.0,129400
2022-05-23,34321.3984375,34819.94921875,34117.3515625,34247.6015625,34247.203125,156000
2022-05-24,34223.19921875,34586.44921875,34115.80078125,34290.1484375,34289.75,163700
2022-05-25,34491.80078125,34722.6015625,34285.80078125,34339.5,34339.1015625,153600
2022-05-26,34670.6015625,35222.05078125,34424.75,35094.8984375,35094.4921875,191500
2022-05-27,35326.6015625,35694.8515625,35291.94921875,35613.30078125,35612.88671875,132600
2022-05-30,35958.80078125,36083.69921875,35748.44921875,35826.94921875,35826.53125,127000
2022-05-31,35615.30078125,35881.94921875,35288.94921875,35487.3984375,35486.984375,149300
2022-06-01,35358.94921875,35768.69921875,35285.44921875,35620.80078125,35620.38671875,100800
2022-06-02,35470.94921875,35676.19921875,35385.0,35613.6484375,35613.234375,140700
2022-06-03,35929.55078125,35958.44921875,35175.1015625,35275.05078125,35274.640625,104800
2022-06-06,35159.1484375,35424.5,35072.30078125,35310.19921875,35309.7890625,100800
2022-06-07,35080.80078125,35154.30078125,34834.3984375,34996.0,34995.59375,91600
2022-06-08,35165.6484375,35449.8984375,34831.75,34946.1484375,34945.7421875,124600
2022-06-09,34802.25,35149.1015625,34659.1015625,35085.44921875,35085.04296875,100900
2022-06-10,34686.94921875,34752.44921875,34346.6484375,34483.80078125,34483.3984375,90000
2022-06-13,33728.6484375,33774.05078125,33210.3515625,33405.8515625,33405.46484375,131900
2022-06-14,33180.6015625,33618.1484375,33123.8984375,33311.3515625,33310.96484375,113200
2022-06-15,33317.80078125,33554.55078125,33249.55078125,33339.0,33338.61328125,90800
2022-06-16,33648.80078125,33756.5,32537.94921875,32617.099609375,32616.720703125,129500
2022-06-17,32393.44921875,32889.80078125,32290.55078125,32743.05078125,32742.669921875,139800
2022-06-20,32873.3984375,32926.1015625,32426.400390625,32684.80078125,32684.419921875,144400
2022-06-21,32978.05078125,33593.80078125,32797.55078125,33191.75,33191.36328125,258100
2022-06-22,33051.6484375,33106.94921875,32758.150390625,32845.30078125,32844.91796875,135000
2022-06-23,32927.3984375,33431.75,32652.150390625,33135.0,33134.61328125,193100
2022-06-24,33434.80078125,33721.8984375,33390.8515625,33627.44921875,33627.05859375,149800
2022-06-27,34126.19921875,34147.5,33735.5,33811.25,33810.85546875,111400
2022-06-28,33578.19921875,33745.30078125,33503.30078125,33642.44921875,33642.05859375,125000
2022-06-29,33273.55078125,33422.80078125,33185.25,33269.8984375,33269.51171875,140800
2022-06-30,33180.69921875,33659.30078125,33179.6015625,33425.1015625,33424.71484375,149500
2022-07-01,33264.75,33666.5,33080.44921875,33539.44921875,33539.05859375,149900
2022-07-04,33558.8515625,33978.5,33515.6015625,33940.8984375,33940.50390625,152600
2022-07-05,34084.69921875,34361.05078125,33757.0,33815.8984375,33815.50390625,115000
2022-07-06,33929.3984375,34388.5,33876.1484375,34324.25,34323.8515625,122700
2022-07-07,34627.3984375,34965.75,34553.1015625,34920.30078125,34919.89453125,184000
2022-07-08,35258.8984375,35262.1015625,34977.75,35124.05078125,35123.640625,109000
2022-07-11,35017.6015625,35543.1015625,35006.55078125,35469.6484375,35469.234375,130600
2022-07-12,35298.69921875,35419.6484375,35047.5,35132.25,35131.83984375,113400
2022-07-13,35259.80078125,35308.1484375,34757.6015625,34827.80078125,34827.39453125,103400
2022-07-14,34817.94921875,35027.6015625,34558.44921875,34651.19921875,34650.796875,121300
2022-07-15,34734.44921875,34899.94921875,34463.8984375,34682.6484375,34682.24609375,99100
2022-07-18,34841.8515625,35382.5,34804.3984375,35358.69921875,35358.2890625,146600
2022-07-19,35113.25,35761.6484375,35110.5,35720.3515625,35719.9375,183400
2022-07-20,36061.30078125,36182.69921875,35876.55078125,35972.1015625,35971.68359375,173400
2022-07-21,36026.55078125,36331.69921875,35887.3515625,36201.0,36200.578125,153800
2022-07-22,36322.8984375,36823.44921875,36286.3515625,36738.94921875,36738.5234375,143600
2022-07-25,36766.69921875,37011.19921875,36464.6484375,36726.3984375,36725.97265625,139700
2022-07-26,36688.55078125,36695.75,36334.1015625,36408.5,36408.078125,114000
2022-07-27,36370.55078125,36808.30078125,36248.6015625,36783.75,36783.32421875,113100
2022-07-28,37102.44921875,37414.3984375,37028.5,37378.1484375,37377.71484375,172500
2022-07-29,37717.30078125,37754.6484375,37221.1484375,37491.3984375,37490.9609375,166900
2022-08-01,37594.1484375,37939.6015625,37407.19921875,37903.19921875,37902.7578125,346400
2022-08-02,37767.69921875,38179.8515625,37632.30078125,38024.0,38023.55859375,317300
2022-08-03,37954.55078125,38068.6015625,37692.94921875,37989.25,37988.80859375,200300
2022-08-04,38111.05078125,38231.8515625,37249.5,37755.55078125,37755.11328125,186300
2022-08-05,37868.25,38150.44921875,37779.8984375,37920.6015625,37920.16015625,175900
2022-08-08,37847.3515625,38302.3515625,37681.44921875,38237.3984375,38236.953125,174100
2022-08-10,38298.8515625,38402.94921875,38155.30078125,38287.8515625,38287.40625,163900
2022-08-11,38712.94921875,38932.1015625,38648.8984375,38879.8515625,38879.3984375,200900
2022-08-12,38942.44921875,39088.8984375,38739.94921875,39042.30078125,39041.84765625,125300
2022-08-16,39284.1015625,39444.6015625,39119.8984375,39239.6484375,39239.19140625,0
2022-08-17,39351.30078125,39504.5,39202.80078125,39461.69921875,39461.2421875,169800
2022-08-18,39324.3984375,39703.69921875,39291.1484375,39656.1484375,39655.6875,137200
2022-08-19,39732.6484375,39759.1484375,38848.3984375,38985.94921875,38985.49609375,148100
2022-08-22,38693.6484375,38732.8515625,38247.25,38297.75,38297.3046875,124300
2022-08-23,37955.44921875,38869.8984375,37950.8515625,38697.6484375,38697.19921875,176400
2022-08-24,38552.69921875,39120.80078125,38552.19921875,39038.5,39038.046875,214900
2022-08-25,39190.05078125,39471.75,38803.69921875,38950.75,38950.296875,333400
2022-08-26,39129.6484375,39337.1015625,38846.80078125,38987.1484375,38986.6953125,196300
2022-08-29,38111.6015625,38397.1015625,37943.8515625,38276.69921875,38276.25390625,158000
2022-08-30,38516.94921875,39606.55078125,38472.69921875,39536.75,39536.2890625,176800
2022-09-01,38806.69921875,39667.6484375,38803.30078125,39301.25,39300.79296875,191200
2022-09-02,39422.30078125,39595.8515625,39200.44921875,39421.0,39420.54296875,133900
2022-09-05,39412.05078125,39865.19921875,39407.3984375,39805.75,39805.2890625,214100
2022-09-06,39892.94921875,40073.75,39564.30078125,39666.5,39666.0390625,210200
2022-09-07,39337.75,39572.05078125,39258.25,39455.8984375,39455.44140625,138900
2022-09-08,39763.8984375,40265.75,39706.3984375,40208.94921875,40208.48046875,203800
2022-09-09,40520.75,40685.94921875,40280.30078125,40415.69921875,40415.23046875,207000
2022-09-12,40540.44921875,40684.8984375,40377.8984375,40574.0,40573.52734375,147000
2022-09-13,40802.1015625,40904.30078125,40693.94921875,40873.1015625,40872.625,176400
2022-09-14,40308.80078125,41626.8984375,40288.8984375,41405.3984375,41404.91796875,218400
2022-09-15,41533.69921875,41840.1484375,41153.5,41209.19921875,41208.71875,245300
2022-09-16,40977.19921875,41162.5,40502.05078125,40776.80078125,40776.328125,244200
2022-09-19,40685.6015625,41184.25,40509.8984375,40904.3984375,40903.921875,206000
2022-09-20,41304.1484375,41677.6484375,41207.30078125,41468.30078125,41467.8203125,175200
2022-09-21,41282.6015625,41501.69921875,40889.1484375,41203.44921875,41202.96875,151300
2022-09-22,40889.05078125,41159.19921875,40360.19921875,40630.6015625,40630.12890625,209500
2022-09-23,40429.3515625,40528.3984375,39412.69921875,39546.25,39545.7890625,226200
2022-09-26,39027.8515625,39229.3984375,38492.19921875,38616.25,38615.80078125,241800
2022-09-27,38811.69921875,39050.5,38184.8984375,38359.1484375,38358.703125,168700
2022-09-28,38081.25,38368.80078125,37626.19921875,37759.8515625,37759.4140625,210600
2022-09-29,38092.8515625,38283.3984375,37536.6484375,37647.75,37647.3125,253000
2022-09-30,37660.0,38811.0,37386.3515625,38631.94921875,38631.5,246100
2022-10-03,38444.8984375,38641.6015625,37963.25,38029.6484375,38029.20703125,172900
2022-10-04,38700.3984375,39177.5,38596.8984375,39110.05078125,39109.59765625,241100
2022-10-06,39343.69921875,39608.3515625,39232.8984375,39282.8515625,39282.39453125,158800
2022-10-07,39093.5,39235.05078125,38807.5,39178.05078125,39177.59375,165000
2022-10-10,38641.55078125,39315.69921875,38518.30078125,39093.1015625,39092.6484375,159700
2022-10-11,39058.8515625,39174.94921875,38622.75,38712.44921875,38712.0,177600
2022-10-12,38784.19921875,39164.1015625,38606.3984375,39118.55078125,39118.09765625,195800
2022-10-13,38957.6484375,39061.30078125,38437.94921875,38624.0,38623.55078125,158900
2022-10-14,39446.05078125,39570.8515625,39196.30078125,39305.6015625,39305.14453125,185600
2022-10-17,39295.6015625,39974.69921875,39146.69921875,39920.44921875,39919.984375,201600
2022-10-18,40252.05078125,40435.3515625,40139.8515625,40318.75,40318.28125,245200
2022-10-19,40556.6484375,40643.6015625,40195.19921875,40373.19921875,40372.73046875,232900
2022-10-20,40149.5,40208.3515625,39848.8515625,40099.55078125,40099.0859375,262800
2022-10-21,40370.75,41032.25,40355.44921875,40784.05078125,40783.578125,324200
2022-10-24,41348.3515625,41427.25,41201.1484375,41304.8984375,41304.41796875,74300
2022-10-25,41513.6484375,41530.6484375,41021.44921875,41122.75,41122.2734375,351800
2022-10-27,41440.69921875,41511.80078125,41178.6484375,41299.30078125,41298.8203125,239400
2022-10-28,41236.80078125,41482.3984375,40839.30078125,40990.8515625,40990.375,237100
2022-10-31,41265.69921875,41353.69921875,41106.1015625,41307.8984375,41307.41796875,237200
2022-11-01,41552.3984375,41677.25,41188.55078125,41289.55078125,41289.0703125,304400
2022-11-02,41472.6015625,41474.30078125,41060.44921875,41146.6484375,41146.171875,175800
2022-11-03,40873.69921875,41478.0,40819.1484375,41298.3515625,41297.87109375,263600
2022-11-04,41314.8515625,41516.19921875,41051.1484375,41258.44921875,41257.96875,190400
2022-11-07,41740.6484375,41779.3984375,41337.05078125,41686.69921875,41686.21484375,393400
2022-11-09,41914.8515625,41948.8984375,41667.8984375,41783.19921875,41782.71484375,490500
2022-11-10,41462.8515625,41643.8984375,41318.6015625,41603.75,41603.265625,253400
2022-11-11,42163.3984375,42345.5,41918.1015625,42137.05078125,42136.5625,255400
2022-11-14,42177.55078125,42231.44921875,41965.44921875,42076.75,42076.26171875,142700
2022-11-15,42234.8515625,42450.05078125,42079.55078125,42372.69921875,42372.20703125,139400
2022-11-16,42371.80078125,42611.75,42296.30078125,42535.30078125,42534.8046875,185400
2022-11-17,42399.6484375,42622.75,42366.55078125,42458.05078125,42457.55859375,165400
2022-11-18,42545.75,42590.75,42223.69921875,42437.44921875,42436.95703125,280100
2022-11-21,42286.94921875,42386.80078125,42202.55078125,42346.55078125,42346.05859375,259100
2022-11-22,42467.3984375,42508.75,42347.1484375,42457.05078125,42456.55859375,216300
2022-11-23,42668.55078125,42860.55078125,42556.3984375,42729.1015625,42728.60546875,359100
2022-11-24,42838.3515625,43163.3984375,42769.6484375,43075.3984375,43074.8984375,204900
2022-11-25,43192.44921875,43339.1484375,42864.94921875,42983.94921875,42983.44921875,502800
2022-11-28,42757.19921875,43159.80078125,42740.0,43020.44921875,43019.94921875,238700
2022-11-29,42959.3984375,43279.6015625,42959.3984375,43053.44921875,43052.94921875,223000
2022-11-30,43122.75,43332.30078125,42880.05078125,43231.0,43230.49609375,202000
2022-12-01,43512.1015625,43515.05078125,43101.8515625,43260.6484375,43260.14453125,268400
2022-12-02,42976.69921875,43131.8984375,42937.80078125,43103.75,43103.25,212800
